iteration,loss,reachability_probability,raw_morphology_json,normalized_morphology_json,processed_morphology_json,sampled_pose_indices_json,sampled_goal_poses_json,best_seed_indices_json,best_joints_json,fk_reached_poses_best_json,best_pos_err_mean,best_rot_err_mean,best_se3_dist_mean,best_pos_err_per_pose_json,best_rot_err_per_pose_json,best_se3_dist_per_pose_json
0,391.243408203125,0.19058528542518616,"[[-1.5707963705062866, -0.12492500990629196, 0.056431520730257034], [1.5707963705062866, 0.0, 0.0], [-1.5707963705062866, -0.2797662317752838, -0.18686899542808533], [1.5707963705062866, 0.0, -0.07497695833444595], [-1.5707963705062866, 0.0, -0.16485939919948578], [0.0, 0.0861254334449768, -0.21100254356861115], [-1.5707963705062866, 0.058745454996824265, 0.0]]","[[-1.5707963705062866, -0.12492500990629196, 0.056431520730257034], [1.5707963705062866, 0.0, 0.0], [-1.5707963705062866, -0.2797662317752838, -0.18686899542808533], [1.5707963705062866, 0.0, -0.07497695833444595], [-1.5707963705062866, 0.0, -0.16485939919948578], [0.0, 0.0861254334449768, -0.21100254356861115], [-1.5707963705062866, 0.058745454996824265, 0.0]]","[[-1.5707963705062866, -0.12492500990629196, 0.056431520730257034], [1.5707963705062866, 0.0, 0.0], [-1.5707963705062866, -0.2797662317752838, -0.18686899542808533], [1.5707963705062866, 0.0, -0.07497695833444595], [-1.5707963705062866, 0.0, -0.16485939919948578], [0.0, 0.0861254334449768, -0.21100254356861115], [-1.5707963705062866, 0.058745454996824265, 0.0]]",,,,,,,,,,,
1,49.25030517578125,0.471560537815094,"[[-1.5707963705062866, -0.11491251736879349, 0.04642587900161743], [1.5707963705062866, -0.009999999776482582, 0.009999998845160007], [-1.5707963705062866, -0.2897382378578186, -0.19685031473636627], [1.5707963705062866, 0.010000000707805157, -0.08496946096420288], [-1.5707963705062866, -0.009999999776482582, -0.15484289824962616], [0.0, 0.0961168184876442, -0.20098143815994263], [-1.5707963705062866, 0.06873957812786102, -0.009999999776482582]]","[[-1.5707963705062866, -0.11251276731491089, 0.045456353574991226], [1.5707963705062866, -0.009791167452931404, 0.00979116652160883], [-1.5707963705062866, -0.283687561750412, -0.19273944199085236], [1.5707963705062866, 0.009791168384253979, -0.0831950232386589], [-1.5707963705062866, -0.009791167452931404, -0.15160927176475525], [0.0, 0.09410958737134933, -0.19678428769111633], [-1.5707963705062866, 0.06730406731367111, -0.009791167452931404]]","[[-1.5707963705062866, -0.11531265079975128, 0.0], [1.5707963705062866, -0.0, 0.0], [-1.5707963705062866, -0.29074713587760925, -0.19753576815128326], [1.5707963705062866, 0.0, -0.08526533097028732], [-1.5707963705062866, -0.0, -0.15538206696510315], [0.0, 0.09645150601863861, -0.20168127119541168], [-1.5707963705062866, 0.0689789280295372, -0.0]]",,,,,,,,,,,
2,8.989401817321777,0.642384946346283,"[[-1.5707963705062866, -0.1057269498705864, 0.037461042404174805], [1.5707963705062866, -0.01876695267856121, 0.019790491089224815], [-1.5707963705062866, -0.298382043838501, -0.20558053255081177], [1.5707963705062866, 0.01832478679716587, -0.09347373992204666], [-1.5707963705062866, -0.0176264476031065, -0.14618074893951416], [0.0, 0.10402067750692368, -0.19211451709270477], [-1.5707963705062866, 0.07747286558151245, -0.018252281472086906]]","[[-1.5707963705062866, -0.10143204778432846, 0.03593927621841431], [1.5707963705062866, -0.018004590645432472, 0.018986549228429794], [-1.5707963705062866, -0.2862609922885895, -0.1972293108701706], [1.5707963705062866, 0.017580386251211166, -0.08967659622430801], [-1.5707963705062866, -0.016910415142774582, -0.14024250209331512], [0.0, 0.09979508817195892, -0.18431033194065094], [-1.5707963705062866, 0.07432571798563004, -0.017510825768113136]]","[[-1.5707963705062866, -0.10534044355154037, 0.0], [1.5707963705062866, -0.0, 0.0], [-1.5707963705062866, -0.29729124903678894, -0.20482897758483887], [1.5707963705062866, 0.0, -0.09313202649354935], [-1.5707963705062866, -0.0, -0.1456463485956192], [0.0, 0.10364040732383728, -0.19141221046447754], [-1.5707963705062866, 0.07718964666128159, -0.0]]","[8, 1, 2, 6, 3]","[[[0.0, 0.0, -1.0, 0.28999999165534973], [-0.0, 1.0, 0.0, 0.15833400189876556], [1.0, 0.0, 0.0, 0.11874999850988388], [0.0, 0.0, 0.0, 1.0]], [[0.0, 0.0, -1.0, 0.28999999165534973], [-0.0, 1.0, 0.0, -0.15833400189876556], [1.0, 0.0, 0.0, 0.0062500000931322575], [0.0, 0.0, 0.0, 1.0]], [[0.0, 0.0, -1.0, 0.28999999165534973], [-0.0, 1.0, 0.0, -0.15833400189876556], [1.0, 0.0, 0.0, 0.11874999850988388], [0.0, 0.0, 0.0, 1.0]], [[0.0, 0.0, -1.0, 0.28999999165534973], [-0.0, 1.0, 0.0, 0.0], [1.0, 0.0, 0.0, 0.23125000298023224], [0.0, 0.0, 0.0, 1.0]], [[0.0, 0.0, -1.0, 0.28999999165534973], [-0.0, 1.0, 0.0, -0.15833400189876556], [1.0, 0.0, 0.0, 0.23125000298023224], [0.0, 0.0, 0.0, 1.0]]]","[0, 0, 0, 0, 0]","[[0.17704986035823822, 2.020381450653076, 4.225210432196036e-06, 1.1212031841278076, -3.0751655101776123, 1.68141508102417], [-2.637519359588623, 0.5574221014976501, 2.6894772052764893, -3.086063861846924, -3.089580535888672, 1.4952545166015625], [-2.9776527881622314, 0.6440187692642212, 2.7726333141326904, -2.919893980026245, -3.0866379737854004, 1.2517871856689453], [3.0604774951934814, 0.24114005267620087, 1.1016889810562134, -3.092978000640869, -0.495037704706192, 3.0808627605438232], [3.0833017826080322, 0.5331137180328369, 0.9311732649803162, -3.0999536514282227, -0.36518821120262146, 2.7966673374176025]]","[[[2.1923333406448364e-06, 7.29784369468689e-06, -1.0, 0.2900390625], [5.125999450683594e-06, 1.0, 7.29784369468689e-06, 0.1583251953125], [1.0, -5.125999450683594e-06, 2.1923333406448364e-06, 0.11882324516773224], [0.0, 0.0, 0.0, 1.0]], [[0.131103515625, 0.41357421875, -0.90087890625, 0.254150390625], [0.220947265625, 0.87353515625, 0.433349609375, -0.0841064453125], [0.96630859375, -0.255859375, 0.0231170654296875, 0.03398437798023224], [0.0, 0.0, 0.0, 1.0]], [[0.108642578125, 0.403076171875, -0.90869140625, 0.25732421875], [0.11236572265625, 0.9033203125, 0.4140625, -0.08642578125], [0.98779296875, -0.1470947265625, 0.052825927734375, 0.14476318657398224], [0.0, 0.0, 0.0, 1.0]], [[0.01338958740234375, 0.262451171875, -0.96484375, 0.304931640625], [0.0193023681640625, 0.96484375, 0.2626953125, 0.03326416015625], [0.99951171875, -0.0221405029296875, 0.007843017578125, 0.23414917290210724], [0.0, 0.0, 0.0, 1.0]], [[0.018829345703125, 0.5302734375, -0.84765625, 0.3154296875], [-0.00881195068359375, 0.84765625, 0.5302734375, -0.09808349609375], [1.0, -0.0025119781494140625, 0.0206298828125, 0.24617309868335724], [0.0, 0.0, 0.0, 1.0]]]",0.054773617535829544,0.35844627022743225,0.0830388218164444,"[8.348149276571348e-05, 0.0869719460606575, 0.08315759152173996, 0.03657681867480278, 0.06707824766635895]","[0.0, 0.5148606896400452, 0.451250821352005, 0.2668754458427429, 0.5592443346977234]","[2.951516398752574e-05, 0.11989454925060272, 0.10573682934045792, 0.06144434213638306, 0.1280888319015503]"
3,2.4063966274261475,0.681401789188385,"[[-1.5707963705062866, -0.09769754111766815, 0.02967727929353714], [1.5707963705062866, -0.02721225470304489, 0.028846459463238716], [-1.5707963705062866, -0.30578774213790894, -0.21311761438846588], [1.5707963705062866, 0.025464361533522606, -0.1007126197218895], [-1.5707963705062866, -0.02385634370148182, -0.1387607753276825], [0.0, 0.11026150733232498, -0.18436069786548615], [-1.5707963705062866, 0.08467582613229752, -0.025019662454724312]]","[[-1.5707963705062866, -0.09196971356868744, 0.027937356382608414], [1.5707963705062866, -0.025616850703954697, 0.02715524472296238], [-1.5707963705062866, -0.2878599762916565, -0.20062293112277985], [1.5707963705062866, 0.0239714328199625, -0.09480802714824677], [-1.5707963705062866, -0.02245769090950489, -0.13062548637390137], [0.0, 0.1037970781326294, -0.17355197668075562], [-1.5707963705062866, 0.0797114372253418, -0.023552807047963142]]","[[-1.5707963705062866, -0.09678861498832703, 0.0], [1.5707963705062866, -0.0, 0.0], [-1.5707963705062866, -0.3029428720474243, -0.2111348956823349], [1.5707963705062866, 0.0, -0.09977564215660095], [-1.5707963705062866, -0.0, -0.1374698132276535], [0.0, 0.10923568904399872, -0.1826455146074295], [-1.5707963705062866, 0.08388804644346237, -0.0]]",,,,,,,,,,,
4,1.2796539068222046,0.6843664050102234,"[[-1.5707963705062866, -0.09098004549741745, 0.023239320144057274], [1.5707963705062866, -0.034256529062986374, 0.036326080560684204], [-1.5707963705062866, -0.3119019567966461, -0.21936604380607605], [1.5707963705062866, 0.03135913982987404, -0.10668236017227173], [-1.5707963705062866, -0.02897471748292446, -0.1326223909854889], [0.0, 0.11539217084646225, -0.1779324859380722], [-1.5707963705062866, 0.09056558459997177, -0.030588101595640182]]","[[-1.5707963705062866, -0.08425925672054291, 0.021522607654333115], [1.5707963705062866, -0.031725965440273285, 0.033642638474702835], [-1.5707963705062866, -0.2888614535331726, -0.20316125452518463], [1.5707963705062866, 0.02904260903596878, -0.0988016277551651], [-1.5707963705062866, -0.02683432586491108, -0.12282544374465942], [0.0, 0.10686803609132767, -0.16478843986988068], [-1.5707963705062866, 0.08387541770935059, -0.028328528627753258]]","[[-1.5707963705062866, -0.08970237523317337, 0.0], [1.5707963705062866, -0.0, 0.0], [-1.5707963705062866, -0.3075218200683594, -0.21628540754318237], [1.5707963705062866, 0.0, -0.10518418252468109], [-1.5707963705062866, -0.0, -0.13075992465019226], [0.0, 0.11377167701721191, -0.17543372511863708], [-1.5707963705062866, 0.08929374068975449, -0.0]]","[4, 0, 9, 8, 3]","[[[0.0, 0.0, -1.0, 0.28999999165534973], [-0.0, 1.0, 0.0, 0.0], [1.0, 0.0, 0.0, 0.0062500000931322575], [0.0, 0.0, 0.0, 1.0]], [[0.0, -0.0, 1.0, 0.15000000596046448], [0.0, 1.0, 0.0, 0.0], [-1.0, 0.0, 0.0, 0.125], [0.0, 0.0, 0.0, 1.0]], [[0.0, 0.0, -1.0, 0.28999999165534973], [-0.0, 1.0, 0.0, 0.15833400189876556], [1.0, 0.0, 0.0, 0.23125000298023224], [0.0, 0.0, 0.0, 1.0]], [[0.0, 0.0, -1.0, 0.28999999165534973], [-0.0, 1.0, 0.0, 0.15833400189876556], [1.0, 0.0, 0.0, 0.11874999850988388], [0.0, 0.0, 0.0, 1.0]], [[0.0, 0.0, -1.0, 0.28999999165534973], [-0.0, 1.0, 0.0, -0.15833400189876556], [1.0, 0.0, 0.0, 0.23125000298023224], [0.0, 0.0, 0.0, 1.0]]]","[0, 0, 0, 0, 0]","[[-2.4687483310699463, 0.19400276243686676, 2.222663164138794, -3.0830531120300293, -3.0829899311065674, 1.2411682605743408], [-0.9851670861244202, 1.5769108533859253, 1.614207576494664e-07, 1.5646817684173584, 0.8660443425178528, -0.28041526675224304], [-2.3942317962646484, -0.2087256759405136, -3.967404893501225e-07, -2.9328670501708984, 1.8165302276611328, 0.5016264319419861], [-2.1666362285614014, -0.20872563123703003, -2.0601346761850436e-07, -2.9328670501708984, 1.4956402778625488, 1.0501121282577515], [3.0176799297332764, 0.5992777347564697, -3.0856356620788574, -2.8679747581481934, -2.9824352264404297, 1.2370579242706299]]","[[[0.03570556640625, 0.09429931640625, -0.9951171875, 0.278564453125], [0.1317138671875, 0.986328125, 0.09820556640625, 0.02044677734375], [0.99072265625, -0.1346435546875, 0.022796630859375, 0.01811523735523224], [0.0, 0.0, 0.0, 1.0]], [[-1.1102230246251565e-15, 3.716559149324894e-08, 1.0, 0.1500244140625], [-5.8673322200775146e-08, 1.0, -3.716559149324894e-08, -5.2023096941411495e-09], [-1.0, -5.8673322200775146e-08, 1.1102230246251565e-15, 0.12504883110523224], [0.0, 0.0, 0.0, 1.0]], [[1.1102230246251565e-16, -1.4726538211107254e-08, -1.0, 0.2900390625], [-1.7345882952213287e-08, 1.0, -1.4726538211107254e-08, 0.1583251953125], [1.0, 1.7345882952213287e-08, -1.1102230246251565e-16, 0.23125000298023224], [0.0, 0.0, 0.0, 1.0]], [[-1.1102230246251565e-16, -1.1008523870259523e-08, -1.0, 0.2900390625], [3.009336069226265e-08, 1.0, -1.1008523870259523e-08, 0.1583251953125], [1.0, -3.009336069226265e-08, 1.6653345369377348e-16, 0.11882324516773224], [0.0, 0.0, 0.0, 1.0]], [[0.08782958984375, 0.31591796875, -0.94482421875, 0.2587890625], [-0.08648681640625, 0.947265625, 0.308837890625, -0.10284423828125], [0.9921875, 0.054595947265625, 0.11053466796875, 0.24193115532398224], [0.0, 0.0, 0.0, 1.0]]]",0.018198734149336815,0.10177315771579742,0.023808268830180168,"[0.026260733604431152, 5.459150270326063e-05, 4.005105438409373e-05, 8.348149276571348e-05, 0.06455480307340622]","[0.1670234203338623, 0.0, 0.0, 0.0, 0.3418423533439636]","[0.03872302547097206, 1.9301010979688726e-05, 1.4160185855871532e-05, 2.951516398752574e-05, 0.08025533705949783]"
5,0.6854910850524902,0.7058229446411133,"[[-1.5707963705062866, -0.08522021025419235, 0.01776316575706005], [1.5707963705062866, -0.040265053510665894, 0.042650043964385986], [-1.5707963705062866, -0.3170921802520752, -0.22469201683998108], [1.5707963705062866, 0.03636246919631958, -0.11174537241458893], [-1.5707963705062866, -0.03330701217055321, -0.12739814817905426], [0.0, 0.11973886936903, -0.17245632410049438], [-1.5707963705062866, 0.09552174061536789, -0.03530833125114441]]","[[-1.5707963705062866, -0.07780414074659348, 0.016217373311519623], [1.5707963705062866, -0.0367610901594162, 0.03893853351473808], [-1.5707963705062866, -0.28949806094169617, -0.20513877272605896], [1.5707963705062866, 0.03319811820983887, -0.10202102363109589], [-1.5707963705062866, -0.030408555641770363, -0.11631165444850922], [0.0, 0.10931890457868576, -0.15744875371456146], [-1.5707963705062866, 0.08720920979976654, -0.03223571553826332]]","[[-1.5707963705062866, -0.08367511630058289, 0.0], [1.5707963705062866, -0.0, 0.0], [-1.5707963705062866, -0.31134313344955444, -0.22061821818351746], [1.5707963705062866, 0.0, -0.10971937328577042], [-1.5707963705062866, -0.0, -0.12508834898471832], [0.0, 0.11756793409585953, -0.16932958364486694], [-1.5707963705062866, 0.09378988295793533, -0.0]]",,,,,,,,,,,
6,0.38269469141960144,0.7588252425193787,"[[-1.5707963705062866, -0.08021624386310577, 0.013024873100221157], [1.5707963705062866, -0.04546218365430832, 0.048083171248435974], [-1.5707963705062866, -0.3215737044811249, -0.22930951416492462], [1.5707963705062866, 0.040683016180992126, -0.11611393839120865], [-1.5707963705062866, -0.03704255446791649, -0.12287508696317673], [0.0, 0.12348917126655579, -0.16771192848682404], [-1.5707963705062866, 0.09978076070547104, -0.03938424959778786]]","[[-1.5707963705062866, -0.07231160998344421, 0.01174138206988573], [1.5707963705062866, -0.04098226875066757, 0.04334498196840286], [-1.5707963705062866, -0.28988534212112427, -0.2067129909992218], [1.5707963705062866, 0.036674048751592636, -0.1046718880534172], [-1.5707963705062866, -0.033392321318387985, -0.11076678335666656], [0.0, 0.11132035404443741, -0.15118533372879028], [-1.5707963705062866, 0.08994820713996887, -0.035503264516592026]]","[[-1.5707963705062866, -0.07847288250923157, 0.0], [1.5707963705062866, -0.0, 0.0], [-1.5707963705062866, -0.314584881067276, -0.22432586550712585], [1.5707963705062866, 0.0, -0.11359040439128876], [-1.5707963705062866, -0.0, -0.1202046126127243], [0.0, 0.12080535292625427, -0.16406700015068054], [-1.5707963705062866, 0.09761220216751099, -0.0]]","[8, 6, 0, 7, 1]","[[[0.0, 0.0, -1.0, 0.28999999165534973], [-0.0, 1.0, 0.0, 0.15833400189876556], [1.0, 0.0, 0.0, 0.11874999850988388], [0.0, 0.0, 0.0, 1.0]], [[0.0, 0.0, -1.0, 0.28999999165534973], [-0.0, 1.0, 0.0, 0.0], [1.0, 0.0, 0.0, 0.23125000298023224], [0.0, 0.0, 0.0, 1.0]], [[0.0, -0.0, 1.0, 0.15000000596046448], [0.0, 1.0, 0.0, 0.0], [-1.0, 0.0, 0.0, 0.125], [0.0, 0.0, 0.0, 1.0]], [[0.0, 0.0, -1.0, 0.28999999165534973], [-0.0, 1.0, 0.0, 0.15833400189876556], [1.0, 0.0, 0.0, 0.0062500000931322575], [0.0, 0.0, 0.0, 1.0]], [[0.0, 0.0, -1.0, 0.28999999165534973], [-0.0, 1.0, 0.0, -0.15833400189876556], [1.0, 0.0, 0.0, 0.0062500000931322575], [0.0, 0.0, 0.0, 1.0]]]","[0, 0, 0, 0, 0]","[[-2.6869330406188965, -0.28741738200187683, -2.819308804191678e-07, -2.854175329208374, -1.195153832435608, -3.0625758171081543], [0.018654244020581245, 1.6953799724578857, 3.225281020036164e-08, 1.446212649345398, -2.6771318912506104, 1.1249898672103882], [-0.9304662346839905, 1.6953799724578857, 9.321627203462413e-08, 1.446212649345398, 0.4829588532447815, 0.15737125277519226], [-1.9736734628677368, -0.28741738200187683, -4.653874441373773e-07, -2.854175329208374, 1.169380784034729, 1.5693342685699463], [-2.476804494857788, 0.4312249720096588, 2.330162763595581, -3.0695436000823975, -3.081733226776123, 1.3136440515518188]]","[[[-1.1102230246251565e-16, -5.7480065152049065e-09, -1.0, 0.2900390625], [3.9493897929787636e-08, 1.0, -5.7480065152049065e-09, 0.1583251953125], [1.0, -3.9493897929787636e-08, 1.1102230246251565e-16, 0.11882324516773224], [0.0, 0.0, 0.0, 1.0]], [[-3.3306690738754696e-16, 7.369089871644974e-08, -1.0, 0.2900390625], [-9.1749825514853e-09, 1.0, 7.369089871644974e-08, 1.3860699255019426e-08], [1.0, 9.1749825514853e-09, 3.3306690738754696e-16, 0.23125000298023224], [0.0, 0.0, 0.0, 1.0]], [[2.220446049250313e-16, -1.941225491464138e-08, 1.0, 0.1500244140625], [-2.36177584156394e-08, 1.0, 1.941225491464138e-08, 1.2420059647411108e-08], [-1.0, -2.36177584156394e-08, -2.220446049250313e-16, 0.12504883110523224], [0.0, 0.0, 0.0, 1.0]], [[-8.326672684688674e-16, 3.6670826375484467e-08, -1.0, 0.2900390625], [-4.406319931149483e-08, 1.0, 3.6670826375484467e-08, 0.1583251953125], [1.0, 4.406319931149483e-08, 8.326672684688674e-16, 0.006274417042732239], [0.0, 0.0, 0.0, 1.0]], [[0.0963134765625, 0.260498046875, -0.96044921875, 0.281982421875], [0.25390625, 0.9267578125, 0.27685546875, -0.10601806640625], [0.96240234375, -0.2705078125, 0.0231475830078125, 0.01774902641773224], [0.0, 0.0, 0.0, 1.0]]]",0.010877106338739395,0.07805489003658295,0.017996953800320625,"[8.348149276571348e-05, 3.907084828824736e-05, 5.459150634123944e-05, 4.690708374255337e-05, 0.05416148155927658]","[0.0, 0.0, 0.0, 0.0, 0.39027443528175354]","[2.951516398752574e-05, 1.3813631085213274e-05, 1.930101279867813e-05, 1.6584157492616214e-05, 0.08990555256605148]"
7,0.23745952546596527,0.813327431678772,"[[-1.5707963705062866, -0.07582206279039383, 0.008874062448740005], [1.5707963705062866, -0.05001205950975418, 0.05281374976038933], [-1.5707963705062866, -0.32549116015434265, -0.233359232544899], [1.5707963705062866, 0.04446058347821236, -0.11993051320314407], [-1.5707963705062866, -0.04030590131878853, -0.11891134828329086], [0.0, 0.12676584720611572, -0.16355179250240326], [-1.5707963705062866, 0.10348775237798691, -0.042948655784130096]]","[[-1.5707963705062866, -0.06757684051990509, 0.007909058593213558], [1.5707963705062866, -0.04457353055477142, 0.04707055538892746], [-1.5707963705062866, -0.29009583592414856, -0.20798273384571075], [1.5707963705062866, 0.03962574899196625, -0.10688874870538712], [-1.5707963705062866, -0.03592286258935928, -0.10598041117191315], [0.0, 0.11298078298568726, -0.1457664668560028], [-1.5707963705062866, 0.0922340452671051, -0.038278233259916306]]","[[-1.5707963705062866, -0.07393093407154083, 0.0], [1.5707963705062866, -0.0, 0.0], [-1.5707963705062866, -0.3173728883266449, -0.22753888368606567], [1.5707963705062866, 0.0, -0.1169392541050911], [-1.5707963705062866, -0.0, -0.11594551056623459], [0.0, 0.12360411137342453, -0.15947255492210388], [-1.5707963705062866, 0.100906603038311, -0.0]]",,,,,,,,,,,
8,0.15298251807689667,0.8647097945213318,"[[-1.5707963705062866, -0.07193595170974731, 0.005208603572100401], [1.5707963705062866, -0.05402678996324539, 0.05697026476264], [-1.5707963705062866, -0.3289439082145691, -0.23693670332431793], [1.5707963705062866, 0.04779282584786415, -0.12329527735710144], [-1.5707963705062866, -0.04318231716752052, -0.11540934443473816], [0.0, 0.1296558380126953, -0.15987500548362732], [-1.5707963705062866, 0.1067482978105545, -0.046093620359897614]]","[[-1.5707963705062866, -0.06345769017934799, 0.004594725556671619], [1.5707963705062866, -0.04765927791595459, 0.05025583878159523], [-1.5707963705062866, -0.29017511010169983, -0.2090117186307907], [1.5707963705062866, 0.0421600379049778, -0.10876388847827911], [-1.5707963705062866, -0.03809291869401932, -0.1018073782324791], [0.0, 0.1143748089671135, -0.1410323828458786], [-1.5707963705062866, 0.09416711330413818, -0.040661100298166275]]","[[-1.5707963705062866, -0.06626419723033905, 0.0], [1.5707963705062866, -0.0, 0.052478477358818054], [-1.5707963705062866, -0.3030085265636444, -0.21825556457042694], [1.5707963705062866, 0.0, -0.11357413232326508], [-1.5707963705062866, -0.0, -0.10630995780229568], [0.0, 0.1194332018494606, -0.14726974070072174], [-1.5707963705062866, 0.09833179414272308, -0.0]]","[1, 6, 4, 2, 3]","[[[0.0, 0.0, -1.0, 0.28999999165534973], [-0.0, 1.0, 0.0, -0.15833400189876556], [1.0, 0.0, 0.0, 0.0062500000931322575], [0.0, 0.0, 0.0, 1.0]], [[0.0, 0.0, -1.0, 0.28999999165534973], [-0.0, 1.0, 0.0, 0.0], [1.0, 0.0, 0.0, 0.23125000298023224], [0.0, 0.0, 0.0, 1.0]], [[0.0, 0.0, -1.0, 0.28999999165534973], [-0.0, 1.0, 0.0, 0.0], [1.0, 0.0, 0.0, 0.0062500000931322575], [0.0, 0.0, 0.0, 1.0]], [[0.0, 0.0, -1.0, 0.28999999165534973], [-0.0, 1.0, 0.0, -0.15833400189876556], [1.0, 0.0, 0.0, 0.11874999850988388], [0.0, 0.0, 0.0, 1.0]], [[0.0, 0.0, -1.0, 0.28999999165534973], [-0.0, 1.0, 0.0, -0.15833400189876556], [1.0, 0.0, 0.0, 0.23125000298023224], [0.0, 0.0, 0.0, 1.0]]]","[0, 0, 0, 0, 0]","[[3.667050838470459, 0.3390411138534546, 2.5698578357696533, 3.095771074295044, -3.079373359680176, 1.4408661127090454], [3.820810556411743, 0.12225891649723053, 6.840184028078511e-07, 3.019333600997925, 1.182336449623108, 1.0676782131195068], [4.0091705322265625, 0.08595947921276093, 0.3883414566516876, 3.073755979537964, 0.5829713344573975, 2.237447500228882], [3.512533664703369, 0.3586907684803009, 2.6197714805603027, 3.0978050231933594, -2.418611526489258, 0.6392053365707397], [3.621903657913208, 0.5196614861488342, 0.3666576147079468, 2.7129673957824707, 0.43798285722732544, 1.9208099842071533]]","[[[0.04425048828125, 0.331298828125, -0.9423828125, 0.294677734375], [0.15771484375, 0.92919921875, 0.333984375, -0.113037109375], [0.986328125, -0.1634521484375, -0.0111236572265625, 0.008105471730232239], [0.0, 0.0, 0.0, 1.0]], [[8.42846930027008e-08, -5.960464477539063e-08, -1.0, 0.2900390625], [-3.876630216836929e-08, 1.0, -5.960464477539063e-08, -3.597961040213704e-09], [1.0, 3.876630216836929e-08, 8.42846930027008e-08, 0.23125000298023224], [0.0, 0.0, 0.0, 1.0]], [[0.005207061767578125, 0.0345458984375, -0.99951171875, 0.287353515625], [0.0008807182312011719, 0.99951171875, 0.0345458984375, 0.0030498504638671875], [1.0, -0.00106048583984375, 0.0051727294921875, 0.009082034230232239], [0.0, 0.0, 0.0, 1.0]], [[0.07281494140625, 0.367919921875, -0.92724609375, 0.294921875], [0.0997314453125, 0.92236328125, 0.373779296875, -0.10406494140625], [0.9921875, -0.11968994140625, 0.03045654296875, 0.12523193657398224], [0.0, 0.0, 0.0, 1.0]], [[0.01251983642578125, 0.1707763671875, -0.9853515625, 0.281494140625], [-0.0823974609375, 0.98193359375, 0.169189453125, -0.134765625], [0.99658203125, 0.07904052734375, 0.0263671875, 0.23396606743335724], [0.0, 0.0, 0.0, 1.0]]]",0.026125160977244377,0.20025168359279633,0.04601561278104782,"[0.045575570315122604, 3.9070844650268555e-05, 0.004932123236358166, 0.05487596616148949, 0.025203073397278786]","[0.37921619415283203, 0.0, 0.031251270323991776, 0.4004172384738922, 0.19037367403507233]","[0.08686129003763199, 1.381362926622387e-05, 0.007246929220855236, 0.0921902060508728, 0.043765824288129807]"
9,0.4977579116821289,0.6688060760498047,"[[-1.5707963705062866, -0.0684795081615448, 0.0019515907624736428], [1.5707963705062866, -0.05759088322520256, 0.06072249636054039], [-1.5707963705062866, -0.3320065438747406, -0.2401149719953537], [1.5707963705062866, 0.05075206607580185, -0.12628154456615448], [-1.5707963705062866, -0.045734647661447525, -0.1122959554195404], [0.0, 0.132221981883049, -0.1566055715084076], [-1.5707963705062866, 0.1096358522772789, -0.04888737574219704]]","[[-1.5707963705062866, -0.059844888746738434, 0.0017055136850103736], [1.5707963705062866, -0.05032921954989433, 0.053065963089466095], [-1.5707963705062866, -0.2901436686515808, -0.20983874797821045], [1.5707963705062866, 0.044352710247039795, -0.11035864055156708], [-1.5707963705062866, -0.039967942982912064, -0.09813649952411652], [0.0, 0.11555004119873047, -0.13685908913612366], [-1.5707963705062866, 0.09581180661916733, -0.042723141610622406]]","[[-1.5707963705062866, -0.06141236796975136, 0.0], [1.5707963705062866, -0.05164746195077896, 0.05445588752627373], [-1.5707963705062866, -0.2977432310581207, -0.2153349220752716], [1.5707963705062866, 0.0, -0.11324919760227203], [-1.5707963705062866, -0.0, -0.10070692747831345], [0.0, 0.11857657134532928, -0.14044375717639923], [-1.5707963705062866, 0.0983213484287262, -0.0]]",,,,,,,,,,,
